source name	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[dissociation method]	comment[cross-linker]	comment[crosslink enrichment method]	comment[crosslinker concentration]	comment[crosslinker to protein ratio]	comment[crosslinking reaction time]	comment[crosslinking temperature]	comment[data file]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]
PXD011861_Lumos_RSLC8_CID-HCD_SEC_F2	Homo sapiens	not available	not available	not available	not available	ribosome	not available	1	PXD011861_Lumos_RSLC8_CID-HCD_SEC_F2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	2	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC8_CID-HCD_SEC_F2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC8_steppedHCD_SEC_F4_3	Homo sapiens	not available	not available	not available	not available	ribosome	not available	1	PXD011861_Lumos_RSLC8_steppedHCD_SEC_F4_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	4	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC8_steppedHCD_SEC_F4_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC3_stepped-HCD_comparison_3	Homo sapiens	not available	not available	not available	not available	ribosome	not available	9	PXD011861_Lumos_RSLC3_stepped-HCD_comparison_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC3_stepped-HCD_comparison_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC8_CID-HCD_SEC_F4_3	Homo sapiens	not available	not available	not available	not available	ribosome	not available	2	PXD011861_Lumos_RSLC8_CID-HCD_SEC_F4_3_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	4	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC8_CID-HCD_SEC_F4_3.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_Cas9_DSSO_Opt_2	Homo sapiens	not available	not available	not available	not available	ribosome	not available	10	PXD011861_Lumos_RSLC2_Cas9_DSSO_Opt_2_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_Cas9_DSSO_Opt_2.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_TF_DSSO_Opt_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	11	PXD011861_Lumos_RSLC2_TF_DSSO_Opt_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_TF_DSSO_Opt_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC8_CID-HCD_SEC_F3_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	1	PXD011861_Lumos_RSLC8_CID-HCD_SEC_F3_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	3	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC8_CID-HCD_SEC_F3_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_Myoglobin_DSSO_CID-ETD_ID	Homo sapiens	not available	not available	not available	not available	ribosome	not available	12	PXD011861_Lumos_RSLC2_Myoglobin_DSSO_CID-ETD_ID_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_Myoglobin_DSSO_CID-ETD_ID.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC2_Cas9_DSSO_Opt_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	13	PXD011861_Lumos_RSLC2_Cas9_DSSO_Opt_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	1	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC2_Cas9_DSSO_Opt_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
PXD011861_Lumos_RSLC8__Tryp-GluC_CID-HCD_SEC_F4_1	Homo sapiens	not available	not available	not available	not available	ribosome	not available	3	PXD011861_Lumos_RSLC8__Tryp-GluC_CID-HCD_SEC_F4_1_assay	proteomic profiling by mass spectrometry	data-dependent acquisition	NT=label free sample;AC=MS:1002038	4	1	not available	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:21;TA=M;MT=Variable	not available	not available	NT=DSSO;AC=XLMOD:02126;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	size exclusion chromatography (SEC)	500 µM	not available	1 h	room temperature	Lumos_RSLC8__Tryp-GluC_CID-HCD_SEC_F4_1.raw	NT=ms-proteomics;VV=v1.1.0	NT=crosslinking;VV=v1.0.0	NT=vertebrates;VV=v1.1.0
